pig	sire	dam	year	sex	pen	weanage	weanwt	adg	weight	loinarea
762	44	43	2004	2	51	21	12	1.6	218	3.87
763	44	43	2004	1	34	21	13.85	2	257	5.33
764	44	43	2004	1	38	21	13.85	1.8	239	6.02
765	44	43	2004	1	32	21	11.95	1.8	242	4.29
766	44	43	2004	1	36	21	10.95	1.7	223	4.79
173	29	45	2004	2	45	21	13	1.8	242	4.21
767	29	45	2004	1	34	21	14.75	1.8	252	6.3
768	29	45	2004	1	31	21	13.3	1.9	228	5.17
769	29	45	2004	1	32	21	12.55	1.7	227	4.99
125	29	45	2004	1	38	21	14.5	2	257	5.2
142	12	46	2004	2	45	21	12.15	2.2	271	5.47
770	12	46	2004	3	35	21	12.75	1.9	243	5.81
771	12	46	2004	1	52	21	12.1	2.1	253	5.96
145	12	46	2004	1	31	21	8.7	1.6	206	4.46
157	12	46	2004	1	34	21	11.7	2.1	263	4.91
772	14	47	2004	3	33	21	15.5	2.1	272	5.42
773	14	47	2004	2	51	21	13.55	1.5	208	4.34
188	14	47	2004	1	36	21	12	1.8	242	5.83
189	14	47	2004	1	38	21	14.95	2	263	4.79
774	14	47	2004	1	32	21	11.5	1.7	224	5.48
775	14	47	2004	1	34	21	13.95	1.7	232	4.84
776	22	48	2004	2	43	21	12.6	1.5	207	4.17
777	22	48	2004	3	37	22	12.35	1.7	221	4.54
778	22	48	2004	1	30	21	10.8	1.7	220	6.4
779	22	48	2004	1	13	21	10.25	1.9	257	5.67
780	22	48	2004	1	32	21	12.5	1.7	226	5.11
781	22	48	2004	1	40	21	12.3	1.6	222	5.14
782	50	49	2004	2	41	21	12.35	1.7	231	5.29
783	50	49	2004	3	37	21	11.75	1.8	232	4.11
175	50	49	2004	1	52	21	11	2	246	5.33
784	50	49	2004	1	30	21	11.1	1.7	225	5.24
785	24	51	2004	2	41	21	11.05	1.2	168	3.98
786	24	51	2004	3	37	21	11.15	1.9	236	5.1
787	24	51	2004	1	31	21	11.95	1.7	222	5.18
788	24	51	2004	1	40	22	13.95	1.5	214	5.58
789	24	51	2004	1	32	21	13.4	1.9	246	4.54
790	24	51	2004	1	30	21	10.55	2	250	5.86
791	31	52	2004	2	51	21	12.9	1.7	210	5.24
792	31	52	2004	3	33	21	12.55	1.8	235	4.38
793	31	52	2004	1	16	21	9.3	2	272	5.98
116	18	53	2004	2	45	21	12.15	2.2	278	7.07
794	18	53	2004	3	33	21	9.55	1.9	232	5.49
795	18	53	2004	3	47	21	10.5	1.9	229	5.54
796	18	53	2004	1	31	21	10.35	1.7	216	5.5
797	18	53	2004	1	36	21	8.95	1.7	222	5.41
798	18	53	2004	1	32	21	11.1	1.6	200	5.61
799	18	53	2004	1	38	21	13	2.1	267	7.29
800	2	54	2004	3	37	21	13.8	1.8	235	5.08
140	2	54	2004	2	41	21	13	1.9	246	4.65
128	2	54	2004	2	39	21	14.1	2	250	4.95
801	2	54	2004	1	52	21	10.55	1.8	229	5.51
146	2	54	2004	1	30	21	13.65	2.1	266	5.45
134	10	55	2004	2	41	21	11.6	1.8	227	4.11
802	10	55	2004	1	42	21	11.3	1.9	243	5.94
803	10	55	2004	1	34	21	11.65	1.9	238	4.86
804	10	55	2004	1	30	21	13.2	1.7	232	5.31
805	10	55	2004	1	31	21	15.3	1.9	261	6.25
806	57	56	2004	2	41	21	15.55	1.6	218	4.14
195	57	56	2004	1	60	21	15.45	2.3	272	5
141	57	56	2004	1	30	21	15.15	1.8	237	4.32
807	57	56	2004	1	31	21	15.95	1.9	251	4.32
808	59	58	2004	2	41	21	13.4	1.9	252	5.11
809	59	58	2004	3	33	21	9.75	1.7	209	4.65
810	59	58	2004	2	39	21	13.6	1.6	220	4.58
811	59	58	2004	1	50	21	13.45	1.8	229	5.41
812	59	58	2004	1	30	21	12.4	1.7	231	5.67
813	59	58	2004	1	20	21	12.65	1.7	235	5.99
814	59	58	2004	1	60	21	11.4	1.9	237	4.9
192	59	58	2004	1	52	21	10.55	2.1	261	4.77
815	35	60	2004	3	35	21	12.45	2	257	5.96
816	35	60	2004	2	39	21	12.15	1.9	243	5.67
817	35	60	2004	1	30	21	10.35	2	252	7.04
818	35	60	2004	1	12	21	10.9	1.8	218	5.5
819	35	60	2004	1	16	21	8.05	1.6	217	5.55
820	35	60	2004	1	31	21	11.15	1.5	190	4.03
821	14	61	2004	2	19	21	12.6	2	260	6.84
822	14	61	2004	2	45	21	12.1	1.8	227	5.8
823	14	61	2004	1	2	21	11.9	2.1	257	6.33
824	14	61	2004	1	58	21	11.85	2	238	5.14
825	14	61	2004	1	22	21	13.05	2.1	276	6.49
826	14	61	2004	1	36	21	12.15	1.9	243	5.31
827	63	62	2004	2	51	21	13.8	1.4	200	5.17
828	63	62	2004	3	35	21	15.7	2	245	6.63
113	63	62	2004	1	2	21	10.1	2	262	4.29
829	63	62	2004	1	13	21	12.45	1.9	231	5.29
152	63	62	2004	1	24	21	13.75	1.9	271	6.05
830	65	64	2004	2	53	21	14.1	1.6	221	6.22
831	65	64	2004	3	35	21	13.6	1.6	215	5.05
832	65	64	2004	2	43	21	13.4	1.8	251	5.53
833	65	64	2004	1	36	21	15.2	1.8	238	6.44
834	65	64	2004	1	24	21	12.65	1.2	200	4.96
835	65	66	2004	2	43	21	12.8	1.7	244	4.95
836	65	66	2004	3	33	21	14.35	2	270	5.33
176	65	66	2004	1	2	21	7.45	2.1	257	5.75
837	65	66	2004	1	16	21	12.25	1.8	270	6.24
838	65	66	2004	1	22	21	10.3	1.8	220	5.26
839	65	66	2004	1	24	21	12.4	1.8	248	6.17
840	16	67	2004	2	55	21	15.15	1.5	225	5.23
841	16	67	2004	3	33	21	15.05	2.2	282	6.82
842	16	67	2004	1	18	21	16	1.8	241	6.36
843	16	67	2004	1	2	21	12.95	1.6	237	5.65
181	16	67	2004	1	24	21	13.8	1.9	245	6.36
844	16	67	2004	1	13	21	14.2	1.6	216	4.84
845	69	68	2004	3	57	21	10.95	1.6	219	4.58
120	69	68	2004	2	39	21	17.5	2.1	281	6.45
846	69	68	2004	1	20	21	16.1	1.8	242	6.68
847	41	70	2004	2	39	21	12.5	1.8	236	5.64
848	41	70	2004	2	45	21	13.4	1.4	210	3.72
849	41	70	2004	3	42	21	13.95	1.8	220	6.08
850	41	70	2004	1	40	21	10.9	1.8	228	5.84
155	41	70	2004	1	48	21	11.4	1.7	211	5.02
135	41	70	2004	1	18	21	14.55	1.9	244	5.96
851	26	71	2004	3	24	21	11.5	1.8	227	5.29
852	26	71	2004	1	2	21	12.6	1.9	229	5.53
853	26	71	2004	1	12	21	12.35	2	237	6.56
854	26	71	2004	1	3	21	11.7	1.8	253	7.08
855	4	72	2004	3	33	21	13.45	1.9	255	6.83
856	4	72	2004	2	53	21	13.45	1.6	232	4.88
857	4	72	2004	2	49	21	12.65	1.9	245	5.35
858	4	72	2004	1	16	21	12.9	2.1	282	6.6
859	4	72	2004	1	13	21	13.1	1.9	250	5
860	57	73	2004	1	18	21	6.3	1.9	237	6.67
183	57	73	2004	1	22	21	7.5	1.9	235	4.37
167	57	73	2004	1	20	21	6.85	1.9	240	5.54
861	75	74	2004	2	23	21	9.3	2	240	5.32
862	75	74	2004	1	22	21	7.5	1.8	229	5.41
863	75	76	2004	3	35	23	15.45	1.9	250	5.68
864	75	76	2004	1	14	23	11.35	1.8	244	4.43
137	75	76	2004	1	12	22	13.95	2	268	6.06
865	6	77	2004	2	39	21	11.55	1.6	205	4.81
866	6	77	2004	1	5	21	7.65	1.4	165	2.98
179	6	77	2004	1	13	21	11.2	2.2	265	5.14
867	6	77	2004	1	22	21	10.75	1.8	232	6.12
868	29	78	2004	1	11	21	14.65	1.9	256	6.21
869	29	78	2004	1	22	21	13.7	2.1	276	7.47
870	29	78	2004	1	24	21	16.5	2	265	6.68
871	29	78	2004	1	16	21	15.8	2	283	6.41
872	22	79	2004	2	19	20	11.5	1.8	250	5.18
873	22	79	2004	1	20	20	8.7	1.8	227	5.5
874	22	79	2004	1	16	20	12.05	2.1	251	6.09
875	22	79	2004	1	22	20	9.9	1.9	234	4.85
876	69	80	2004	2	41	21	11.5	1.8	236	5.96
877	69	80	2004	1	16	21	12.85	1.9	256	6.45
878	69	80	2004	1	20	21	9.45	1.8	227	5.37
879	69	80	2004	1	22	21	8.65	1.8	230	7.46
880	69	80	2004	1	2	21	6	1.9	207	5.61
881	63	81	2004	2	57	21	13.1	1.2	175	3.82
882	63	81	2004	2	43	21	14.35	1.2	184	3.5
883	63	81	2004	3	33	21	14.15	1.9	253	4.89
884	63	81	2004	1	13	21	12.65	2	254	5.33
885	63	81	2004	1	2	21	10.95	1.8	228	5.26
886	65	82	2004	2	39	21	12.7	1.6	212	5.35
887	65	82	2004	2	19	21	10.85	1.9	238	5.75
888	65	82	2004	1	18	21	10.15	1.9	226	5.53
196	65	82	2004	1	14	21	13.05	2.2	282	7.58
889	65	82	2004	1	20	21	13.05	1.8	231	6.61
890	4	83	2004	2	19	21	12	1.9	224	4.62
891	4	83	2004	3	35	21	14.1	1.8	228	5.26
892	4	83	2004	1	14	21	10.25	1.8	225	5.23
893	4	83	2004	1	16	21	13.25	1.7	233	4.87
894	4	83	2004	1	24	21	11.6	1.7	205	4.67
895	4	83	2004	1	20	21	10.45	1.8	214	4.75
896	20	84	2004	2	19	21	13.2	1.7	227	4.45
897	20	84	2004	1	14	21	13.25	1.8	240	5.66
898	20	84	2004	1	18	21	12.6	1.8	220	5.39
899	20	84	2004	1	5	21	10.7	1.5	211	5.95
900	57	85	2004	2	19	21	12.9	1.8	240	5.17
901	57	85	2004	1	14	21	12.8	2	246	5.04
902	57	85	2004	1	9	21	10.1	1.5	176	4.48
169	57	85	2004	1	20	21	11.45	1.9	230	4.61
903	57	85	2004	1	13	21	10	1.8	243	5.53
904	20	86	2004	2	23	21	13.25	1.9	232	5.49
905	20	86	2004	2	25	21	15.55	2.1	276	5.65
906	20	86	2004	1	1	21	10.6	1.9	227	5.9
907	20	86	2004	1	4	21	11.4	2.1	261	5.2
908	20	86	2004	1	12	21	13.5	1.7	222	5.08
138	10	87	2004	2	19	21	13.4	2	251	6.47
163	10	87	2004	1	18	21	13.45	2.1	231	4.63
909	10	87	2004	1	14	21	14.5	1.9	216	4.65
910	10	87	2004	1	3	21	11.8	1.6	204	5.07
911	12	88	2004	2	19	21	12.8	1.5	196	4.41
912	12	88	2004	2	45	21	14.3	1.7	220	5.07
913	12	88	2004	3	15	21	9.75	1.7	215	4.83
914	12	88	2004	1	12	21	10.95	1.6	193	3.78
915	12	88	2004	1	14	21	11.45	2.1	246	6.19
916	12	88	2004	1	1	21	12.5	1.9	233	5.54
917	12	88	2004	1	11	21	12.05	1.8	231	5.46
178	75	89	2004	2	23	21	12.95	2.1	256	6.3
918	75	89	2004	1	1	21	11.5	2.2	256	5.95
162	75	89	2004	1	10	21	11.45	2.3	276	6.63
123	75	89	2004	1	3	21	9.2	1.9	229	5.19
126	50	90	2004	2	27	21	14.45	2.1	236	4.31
118	50	90	2004	2	25	21	15.55	2.2	265	5.77
172	50	90	2004	1	6	21	12.15	1.8	211	6.7
139	50	90	2004	1	4	21	12.15	2	240	5.52
186	50	90	2004	1	8	21	12.6	1.9	235	6.77
919	24	91	2004	2	27	21	13.35	1.9	231	4.87
920	24	91	2004	2	39	21	12.8	1.7	223	5.67
921	24	91	2004	1	4	21	14.85	1.8	218	5.72
922	24	91	2004	1	8	21	14.75	1.5	212	4.37
923	24	91	2004	1	6	21	12.55	1.7	226	5.67
924	24	91	2004	1	10	21	14.1	1.6	219	4.58
925	35	92	2004	1	12	21	12.3	1.6	228	4.92
926	35	92	2004	1	9	21	14.15	2.3	275	5.93
160	35	92	2004	1	18	21	14.4	2.2	271	6.64
184	35	92	2004	1	8	21	12.8	2.2	265	6.09
927	31	93	2004	2	27	21	10.5	1.8	232	4.97
928	31	93	2004	3	15	21	13.05	2	248	4.58
929	31	93	2004	1	4	21	10.7	1.6	200	4.17
930	31	93	2004	1	10	21	12.6	2	254	5.85
931	31	93	2004	1	1	21	13.05	1.9	236	6.16
932	12	94	2004	3	23	21	10.5	1.8	215	4.29
933	12	94	2004	1	8	21	11.2	1.7	220	4.66
934	12	94	2004	1	4	21	12	1.7	203	5.01
935	12	94	2004	1	1	21	12.7	1.7	217	4.69
936	12	94	2004	1	10	21	13.05	1.9	240	6.27
937	12	94	2004	1	6	21	12.2	2.1	261	5.7
938	44	95	2004	2	27	21	11.45	2.2	266	5.22
939	44	95	2004	3	15	21	12.05	1.6	211	5.03
940	44	95	2004	1	6	21	10.3	1.8	225	6.48
941	44	95	2004	1	1	21	9.85	2	236	7.12
942	16	96	2004	2	25	21	13.8	2	257	7.56
943	16	96	2004	2	27	21	12.15	1.7	222	4.52
194	16	96	2004	1	8	21	11.55	1.9	243	6.77
944	63	97	2004	2	27	21	13.15	1.9	232	5.65
945	63	97	2004	3	15	21	16.6	1.9	272	5.79
161	63	97	2004	2	25	21	15.05	2.4	295	6.48
946	63	97	2004	1	6	21	10.95	1.9	240	5.5
947	63	97	2004	1	10	21	13.05	1.7	230	6
948	63	97	2004	1	12	21	12.4	1.8	238	6.15
949	63	97	2004	1	8	21	13.25	1.7	212	5.93
950	63	97	2004	1	18	21	12.6	1.8	228	4.7
951	29	98	2004	3	15	20	11.2	1.8	240	5.47
154	29	98	2004	2	25	21	14.2	2.2	286	7.25
177	29	98	2004	1	10	21	14.15	1.9	248	5.06
952	14	99	2004	2	27	21	12.45	1.8	227	5.11
953	14	99	2004	2	25	21	16	2.1	255	5.33
954	14	99	2004	1	6	21	13.95	1.8	225	5.23
955	44	100	2004	3	15	21	14.9	1.8	222	4.91
956	44	100	2004	2	23	21	16.6	2.1	246	6.37
957	44	100	2004	2	17	21	17.25	1.7	224	5.58
958	44	100	2004	1	10	21	15.6	1.7	217	5.34
959	44	100	2004	1	11	21	14.45	1.1	185	4.67
960	37	101	2004	3	15	21	12.85	2.1	254	6.32
156	37	101	2004	2	23	21	14.15	2.1	252	4.51
961	37	101	2004	2	27	21	13.6	1.9	227	5.01
962	37	101	2004	1	9	21	12.65	1.7	220	4.94
963	37	101	2004	1	1	21	11.4	2.1	235	5.84
964	37	101	2004	1	4	21	11.5	2	230	5.64
965	6	102	2004	2	23	20	13.9	1.5	205	5.43
966	6	102	2004	2	25	20	13.9	1.9	239	4.49
967	6	102	2004	1	12	20	15.35	1.8	228	4.15
968	6	102	2004	1	8	20	14.6	1.8	228	4.81
969	6	102	2004	1	4	20	12.2	1.7	212	4.73
970	6	102	2004	1	10	20	14.75	1.8	241	4.86
971	6	102	2004	1	6	20	11.6	2	246	5.24
114	2	103	2004	2	17	21	12.65	2.1	234	5.32
122	2	103	2004	2	21	21	16.25	1.9	206	5.19
972	2	103	2004	1	7	21	15	1.9	222	5.12
117	2	103	2004	1	5	21	10.7	1.9	237	5.54
973	2	103	2004	1	3	21	12.5	1.7	207	5.56
974	44	104	2004	2	25	21	16.35	2.3	265	5.59
975	44	104	2004	2	21	21	12.1	1.7	204	4.85
976	44	104	2004	1	5	21	12.75	1.5	182	4.58
977	44	104	2004	1	4	21	12.65	1.8	226	5.76
978	44	104	2004	1	8	21	13.75	1.4	194	4.23
979	69	105	2004	2	21	21	10.65	1.7	202	5
144	69	105	2004	2	17	21	11.2	2	234	6.18
980	69	105	2004	1	9	21	10.2	2	233	5.96
981	69	105	2004	1	7	21	12.65	1.8	240	5.4
982	69	105	2004	1	5	21	12.25	2	243	5.87
193	69	105	2004	1	11	21	11.4	1.8	211	4.36
983	57	106	2004	2	17	21	15.7	1.8	210	5.81
984	57	106	2004	2	21	21	15.5	1.8	222	4.93
180	57	106	2004	1	7	21	13.45	2	230	5.08
985	57	106	2004	1	5	21	13.25	1.9	211	4.59
986	41	107	2004	2	21	21	15.8	1.8	220	5.16
987	41	107	2004	2	17	21	13.1	1.9	235	6.23
988	41	107	2004	1	3	21	12.6	2.1	237	5.64
989	41	107	2004	1	7	21	12.95	2	240	5.8
119	41	107	2004	1	9	21	13.05	2.3	252	6.88
170	41	107	2004	1	11	21	12.5	2	248	5.04
990	50	108	2004	2	21	21	18.05	1.8	214	3.66
171	50	108	2004	1	11	21	15	1.9	235	4.86
182	50	108	2004	1	5	21	15.25	1.8	229	5.9
991	50	108	2004	1	7	21	15.15	1.9	218	4.33
992	50	108	2004	1	13	21	14.95	1.8	233	5.16
993	31	109	2004	3	15	21	13.8	1.9	231	5.22
994	31	109	2004	2	21	21	15.45	1.7	210	4.93
995	31	109	2004	1	5	21	13.75	1.9	230	4.54
996	31	109	2004	1	9	21	12.9	2.1	246	5.69
130	22	110	2004	2	21	21	17.65	2	238	6.11
997	22	110	2004	1	7	21	15.3	1.9	218	4.88
998	22	110	2004	1	11	21	17.6	1.9	233	5.3
999	31	111	2004	2	17	21	12.55	1.9	216	5.58
1000	31	111	2004	1	3	21	13.95	2.1	238	5.85
1001	31	111	2004	1	9	21	13.95	1.8	217	4.57
1002	31	111	2004	1	7	21	13.8	1.9	243	5.68
124	33	112	2004	2	17	21	17.9	2.3	245	5.66
1003	33	112	2004	1	9	21	16.55	1.9	215	4.83
1004	33	112	2004	1	3	21	15.15	2.4	262	5.24
1005	33	112	2004	1	7	21	18	2.3	269	4.95
1006	33	112	2004	1	11	21	16.9	1.9	224	4.11
214	114	113	2005	2	59	21	12.45	2	230	5.1
251	114	113	2005	1	27	21	8.95	1.7	200	5.28
291	114	113	2005	1	58	21	15.35	2	230	5.43
309	114	113	2005	1	60	21	13.85	2.4	255	6.53
1007	116	115	2005	3	33	21	10.1	1.6	170	4.91
1008	116	115	2005	2	53	21	11.3	2	205	5.34
1009	116	115	2005	2	51	21	9.5	1.3	155	3.98
1010	116	115	2005	1	48	21	8.7	2	209	5.93
1011	116	115	2005	1	46	21	9.7	1.6	166	4.47
1012	116	115	2005	1	44	21	8.05	1.9	191	4.71
1013	116	115	2005	1	58	21	12.6	2.3	252	7.41
1014	116	115	2005	1	56	21	11.65	2.1	221	6.01
1015	118	117	2005	3	33	21	9.25	1.9	192	4.71
232	118	117	2005	2	57	21	14.75	1.7	203	5.01
294	118	117	2005	1	60	21	13.45	1.9	208	4.7
211	118	117	2005	1	54	21	10.5	1.9	206	5.12
258	118	117	2005	1	58	21	14.15	1.8	212	4.86
218	118	117	2005	2	59	21	15.05	2.2	245	4.31
1016	120	119	2005	3	39	21	13.65	1.9	218	6.3
265	120	119	2005	2	57	21	11.35	2	218	6.33
206	120	119	2005	2	59	21	13.35	1.5	182	5.19
1017	120	119	2005	1	58	21	12.5	1.9	206	5.36
290	120	119	2005	1	54	21	13.8	2	226	6.94
286	120	119	2005	1	56	21	14.5	2.1	225	6.99
1018	120	119	2005	1	60	21	15	2	225	6.06
1019	122	121	2005	3	39	21	9.95	2	218	5.22
1020	122	121	2005	3	57	21	13.05	1.7	195	5.3
1021	122	121	2005	1	48	21	12.1	1.9	203	6.11
1022	122	121	2005	1	58	21	12.95	1.8	200	5.24
1023	122	121	2005	1	23	21	12.05	1.8	221	5.97
1024	122	121	2005	1	27	21	9.95	1.9	235	6.13
203	122	121	2005	1	60	21	12.75	1.6	178	4.87
205	122	121	2005	1	52	21	11.7	2	219	5.74
279	122	121	2005	1	56	21	14.05	2	214	6.37
1025	124	123	2005	2	55	21	16.5	1.9	225	5.26
1026	124	123	2005	1	54	21	10.75	1.9	213	4.39
302	124	123	2005	1	52	21	13.5	1.8	206	4.95
256	124	123	2005	1	56	21	11.45	1.9	207	4.82
1027	124	123	2005	1	58	21	14.6	2	227	4.68
1028	126	125	2005	3	39	21	11.55	1.9	200	4.95
1029	126	125	2005	2	57	21	14.85	1.9	212	5.35
1030	126	125	2005	2	59	21	14.4	2	222	5.05
1031	126	125	2005	1	58	21	11	1.9	202	5.11
1032	126	125	2005	1	54	21	11.15	1.9	210	5.4
1033	126	125	2005	1	46	21	9.5	1.6	170	5.44
307	126	125	2005	1	56	21	12.3	2.1	205	4.5
275	128	127	2005	2	57	20	8.85	1.7	187	4.71
1034	128	127	2005	3	39	20	9.6	1.6	156	3.3
